Feature,SHAP Value,Abs
remainder__tenure,2.021538467630357,2.021538467630357
remainder__TotalCharges,-0.8455566696864995,0.8455566696864995
cat__InternetService_Fiber optic,-0.46170924591956924,0.46170924591956924
cat__Contract_Two year,0.3975114130399355,0.3975114130399355
cat__PaymentMethod_Electronic check,0.2541301707575432,0.2541301707575432
cat__InternetService_No,0.21303873464424575,0.21303873464424575
cat__Contract_One year,0.16127665041774772,0.16127665041774772
remainder__MonthlyCharges,0.1113408043160086,0.1113408043160086
remainder__SeniorCitizen,-0.07731611439983349,0.07731611439983349
cat__PaymentMethod_Credit card (automatic),0.02998455605338049,0.02998455605338049
cat__PaymentMethod_Mailed check,0.017216084776468202,0.017216084776468202
cat__gender_Male,0.01317043974559279,0.01317043974559279
